TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;PLACE DE LA BASTILLE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.370072634439651, 48.85331060980803]], ""type"": ""MultiPoint""}";48.85331060980803,2.370072634439651
SANISETTE;;82  AVENUE DE LA REPUBLIQUE;75011;6 h - 1 h;Oui;;;"{""coordinates"": [[2.37952312138287, 48.86424208661518]], ""type"": ""MultiPoint""}";48.86424208661518,2.37952312138287
SANISETTE;;57  BOULEVARD DIDEROT;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.384207324504984, 48.84713481514029]], ""type"": ""MultiPoint""}";48.84713481514029,2.384207324504984
SANISETTE;;26  BOULEVARD DE REUILLY;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.392302587363353, 48.83916534421364]], ""type"": ""MultiPoint""}";48.83916534421364,2.392302587363353
SANISETTE;;53  BOULEVARD SAINT MARCEL;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.355645972582187, 48.837911595474374]], ""type"": ""MultiPoint""}";48.837911595474374,2.355645972582187
SANISETTE;;1  RUE EMILE LEVASSOR;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.369013887547498, 48.82124040430335]], ""type"": ""MultiPoint""}";48.82124040430335,2.369013887547498
SANISETTE;;103  BOULEVARD BRUNE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.315053624154728, 48.825685892245296]], ""type"": ""MultiPoint""}";48.825685892245296,2.315053624154728
SANISETTE;;21  RUE DE GERGOVIE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.314561721364447, 48.833925435692954]], ""type"": ""MultiPoint""}";48.833925435692954,2.314561721364447
SANISETTE;;10  AVENUE DU GENERAL LECLERC;75014;24 h / 24;Oui;;;"{""coordinates"": [[2.331187020094139, 48.83301508320707]], ""type"": ""MultiPoint""}";48.83301508320707,2.331187020094139
SANISETTE;;AVENUE DE SUFFREN;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.308909490180235, 48.846023120096504]], ""type"": ""MultiPoint""}";48.846023120096504,2.308909490180235
SANISETTE;;face au 6 RUE DESNOUETTES;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.293417776948328, 48.83604524670522]], ""type"": ""MultiPoint""}";48.83604524670522,2.293417776948328
SANISETTE;;132  BOULEVARD BESSIERES;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.314293551735199, 48.894846104664346]], ""type"": ""MultiPoint""}";48.894846104664346,2.314293551735199
SANISETTE;;36  RUE DE LA CHARBONNIERE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.352186422605598, 48.88410387025656]], ""type"": ""MultiPoint""}";48.88410387025656,2.352186422605598
SANISETTE;;opposé au 17 RUE RENE BINET;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.340530389340114, 48.89928991429743]], ""type"": ""MultiPoint""}";48.89928991429743,2.340530389340114
SANISETTE;;1  RUE SAINT BRUNO;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.356270510591299, 48.88595754102246]], ""type"": ""MultiPoint""}";48.88595754102246,2.356270510591299
SANISETTE;;135  RUE DAMREMONT;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.338269683499474, 48.8965489204548]], ""type"": ""MultiPoint""}";48.8965489204548,2.338269683499474
SANISETTE;;1  RUE DE LA BONNE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.343545156427324, 48.88736179846098]], ""type"": ""MultiPoint""}";48.88736179846098,2.343545156427324
SANISETTE;;26 bis AVENUE CORENTIN CARIOU;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.385653355685078, 48.89731268179251]], ""type"": ""MultiPoint""}";48.89731268179251,2.385653355685078
SANISETTE;;6  PLACE DE LA PORTE DE BAGNOLET;75020;24 h / 24;Oui;;;"{""coordinates"": [[2.408985779271119, 48.86412097368338]], ""type"": ""MultiPoint""}";48.86412097368338,2.408985779271119
