,TYPE,STATUT,ADRESSE,ARRONDISSEMENT,HORAIRE,ACCES_PMR,RELAIS_BEBE,URL_FICHE_EQUIPEMENT,geo_shape,geo_point_2d,lon,lat
275,SANISETTE,,9  COURS DE VINCENNES,75020,6h/22h,Oui,Non,,"{""coordinates"": [[2.400031592781938, 48.84826364818255]], ""type"": ""MultiPoint""}","48.84826364818255,2.400031592781938",2.400031592781938,48.84826364818255
276,SANISETTE,,157  RUE DE MENILMONTANT,75020,6h/22h,Oui,Non,,"{""coordinates"": [[2.39820179219435, 48.87058588945123]], ""type"": ""MultiPoint""}","48.87058588945123,2.39820179219435",2.39820179219435,48.87058588945123
277,SANISETTE,,55  BOULEVARD DE SEBASTOPOL,75001,6h/22h,Oui,Non,,"{""coordinates"": [[2.350203080907802, 48.862313183032356]], ""type"": ""MultiPoint""}","48.862313183032356,2.350203080907802",2.350203080907802,48.862313183032356
278,SANISETTE,,39  PLACE DES DEUX ECUS,75001,24h/24h,Oui,Non,,"{""coordinates"": [[2.341836175822233, 48.863156681649215]], ""type"": ""MultiPoint""}","48.863156681649215,2.341836175822233",2.341836175822233,48.863156681649215
279,SANISETTE,,15  BOULEVARD SAINT DENIS,75002,24h/24h,Oui,Non,,"{""coordinates"": [[2.353502085687314, 48.869408298985206]], ""type"": ""MultiPoint""}","48.869408298985206,2.353502085687314",2.353502085687314,48.869408298985206
280,SANISETTE,,115  RUE SAINT MARTIN,75004,24h/24h,Oui,Non,,"{""coordinates"": [[2.351171125654263, 48.86052384157859]], ""type"": ""MultiPoint""}","48.86052384157859,2.351171125654263",2.351171125654263,48.86052384157859
281,SANISETTE,,78  BOULEVARD SAINT MARCEL,75005,6h/1h,Oui,Non,,"{""coordinates"": [[2.353543641100616, 48.83741847058166]], ""type"": ""MultiPoint""}","48.83741847058166,2.353543641100616",2.353543641100616,48.83741847058166
282,SANISETTE,,51  BOULEVARD DE COURCELLES,75008,6h/22h,Oui,Non,,"{""coordinates"": [[2.304028164576791, 48.879227198587344]], ""type"": ""MultiPoint""}","48.879227198587344,2.304028164576791",2.304028164576791,48.879227198587344
283,SANISETTE,,opposé au 168 BOULEVARD DE MAGENTA,75009,6h/22h,Oui,Non,,"{""coordinates"": [[2.349610003378711, 48.883270091603826]], ""type"": ""MultiPoint""}","48.883270091603826,2.349610003378711",2.349610003378711,48.883270091603826
284,SANISETTE,,RUE DU FAUBOURG SAINT MARTIN,75010,24h/24h,Oui,Non,,"{""coordinates"": [[2.360463576080204, 48.875749513351415]], ""type"": ""MultiPoint""}","48.875749513351415,2.360463576080204",2.360463576080204,48.875749513351415
